127.0.0.1 - - [16/Oct/2022:17:27:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:28 +0900] "GET /sns/Home/Home.jsp HTTP/1.1" 200 26102
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:29 +0900] "GET /sns/ImageFile//2022/10/14/r20221014214239.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:29 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:29 +0900] "GET /sns/controller/selectBoard?pageRoute=selectBoard HTTP/1.1" 200 32464
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:29 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:33 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:33 +0900] "GET /sns/controller/selectBoard?pageRoute=selectBoard HTTP/1.1" 200 32464
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:33 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:59 +0900] "GET /sns/Login/Login.jsp HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:59 +0900] "POST /sns/controller/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:59 +0900] "GET /sns/controller/HomePage HTTP/1.1" 200 26117
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:59 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:59 +0900] "GET /sns/controller/selectBoard?pageRoute=selectBoard HTTP/1.1" 200 32477
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:27:59 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:00 +0900] "GET /sns/Login/Login.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:01 +0900] "POST /sns/controller/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:01 +0900] "GET /sns/controller/HomePage HTTP/1.1" 200 26115
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:01 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:01 +0900] "GET /sns/controller/selectBoard?pageRoute=selectBoard HTTP/1.1" 200 32477
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:01 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:18 +0900] "GET /sns/Login/Login.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:24 +0900] "GET /sns/controller/WritePage HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:29 +0900] "POST /sns/controller/uploadBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:29 +0900] "GET /sns/controller/HomePage HTTP/1.1" 200 26115
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:29 +0900] "GET /sns/ImageFile//2022/10/16/w20221016172829.png HTTP/1.1" 200 46587
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:29 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:29 +0900] "GET /sns/controller/selectBoard?pageRoute=selectBoard HTTP/1.1" 200 33103
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:30 +0900] "GET /sns/Login/Login.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:34 +0900] "GET /sns/controller/WritePage HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:37 +0900] "POST /sns/controller/uploadBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:17:28:37 +0900] "GET /sns/controller/HomePage HTTP/1.1" 200 26115
